194901,1949011300,0,57,1399,1006,13
194901,1949011306,0,59,1393,1006,13
194901,1949011312,0,63,1387,1006,13
194901,1949011318,0,67,1380,1006,13
194901,1949011400,0,72,1373,1005,13
194901,1949011406,0,77,1367,1005,13
194901,1949011412,0,82,1360,1005,13
194901,1949011418,0,88,1353,1005,13
194901,1949011500,1,96,1348,1005,15
194901,1949011506,2,108,1345,1002,20
194901,1949011512,3,116,1345,1000,25
194901,1949011518,3,122,1346,998,30
194901,1949011600,3,127,1347,998,30
194901,1949011606,4,131,1351,996,35
194901,1949011612,4,132,1353,996,35
194901,1949011618,4,132,1356,996,35
194901,1949011700,4,131,1359,993,35
194901,1949011706,4,128,1361,993,35
194901,1949011712,4,126,1359,993,35
194901,1949011718,5,124,1356,990,45
194901,1949011800,5,123,1352,990,45
194901,1949011806,5,124,1345,990,45
194901,1949011812,5,124,1338,990,45
194901,1949011818,4,123,1328,995,35
194901,1949011900,3,122,1318,995,30
194901,1949011906,3,121,1309,995,30
194901,1949011912,2,119,1299,1000,20
194901,1949011918,2,117,1291,1000,20
194901,1949012000,1,116,1282,1002,15
194901,1949012006,1,114,1274,1004,15
194901,1949012012,0,113,1266,1006,13
194901,1949012018,0,112,1257,1006,13
194901,1949012100,0,113,1249,1008,13
194901,1949012106,0,114,1243,1008,13
194901,1949012112,0,116,1238,1008,13
194901,1949012118,0,117,1233,1008,13
194901,1949012200,0,119,1227,1008,13
194901,1949012206,0,120,1222,1008,13
194901,1949012212,0,125,1212,1008,13
194901,1949012218,0,133,1200,1008,13
194901,1949012300,0,138,1194,1008,13
194901,1949012306,0,143,1191,1008,13
194901,1949012312,0,147,1187,1008,13
194901,1949012318,0,152,1184,1008,13
194901,1949012400,0,157,1182,1008,13
194901,1949012406,0,161,1179,1008,13
194901,1949012412,0,166,1177,1008,13
194901,1949012418,0,171,1174,1010,9
194901,1949012500,0,175,1173,1012,9
